order_id,order_datetime,customer_id,total_amount,num_items
4736,2024-02-08T17:50:02.759542,28,109.31,5
7952,2024-02-01T13:10:30.105530,4,2.07,1
21521,2024-02-07T17:17:30.836888,26,106.70,4
21687,2024-02-06T08:30:09.703245,13,27.44,1
34863,2024-02-01T12:11:21.144443,23,3.08,1
45562,2024-02-06T13:40:35.844257,22,38.16,2
61549,2024-02-02T19:40:23.283079,5,49.27,2
67906,2024-02-06T09:29:37.119718,14,9.03,1
72827,2024-02-09T05:26:14.692456,14,8.04,1
75484,2024-02-08T02:54:57.347395,13,101.85,5
77392,2024-02-08T02:56:31.267590,22,47.90,2
89993,2024-02-02T14:09:37.862686,9,47.80,3
98448,2024-02-04T07:49:30.280237,14,47.59,3
100893,2024-02-02T17:56:45.015595,3,2.07,1
120515,2024-02-08T20:47:42.357625,27,30.52,4
130843,2024-02-05T17:13:48.840838,10,6.24,1
133641,2024-02-07T15:46:27.050086,12,11.91,1
136453,2024-02-10T06:01:35.334119,10,13.83,3
140639,2024-02-02T22:41:03.762277,20,84.49,4
165094,2024-02-06T22:55:43.223164,17,10.86,1
172940,2024-02-10T22:32:02.719558,25,12.32,1
184396,2024-02-02T07:12:53.336024,20,15.48,1
189825,2024-02-10T07:50:40.692638,22,69.30,3
196050,2024-02-09T13:34:50.345727,30,24.32,3
225363,2024-02-09T20:50:55.840001,8,55.21,4
229769,2024-02-08T22:06:25.559100,3,22.76,2
279437,2024-02-07T14:14:01.983728,15,66.87,4
283625,2024-02-05T15:24:16.903873,30,11.76,1
302867,2024-02-09T23:59:33.099547,1,55.22,3
322670,2024-02-09T14:32:17.930292,18,26.40,2
327737,2024-02-06T22:17:53.259372,18,6.06,1
338002,2024-02-04T14:20:19.567367,27,86.06,3
343451,2024-02-09T19:45:36.390746,4,46.67,2
345879,2024-02-09T17:49:06.238182,6,54.96,4
358219,2024-02-04T23:21:41.150764,19,28.40,1
373624,2024-02-05T16:29:43.117795,30,18.18,1
379114,2024-02-08T14:04:30.293033,25,47.72,2
395196,2024-02-04T02:43:23.914820,20,31.83,4
395881,2024-02-06T00:01:12.972832,22,27.15,1
400699,2024-02-05T22:20:55.609478,14,58.47,2
403542,2024-02-10T20:47:50.299449,16,65.18,5
406867,2024-02-05T14:51:00.487303,19,71.71,3
428652,2024-02-06T04:31:22.999234,19,77.32,3
432701,2024-02-08T02:52:22.466817,5,39.76,2
435641,2024-02-05T23:41:28.972212,3,17.22,3
440166,2024-02-09T10:26:44.871471,9,117.71,5
449048,2024-02-02T10:34:42.263246,2,12.04,1
467723,2024-02-05T16:21:03.710406,11,72.17,3
473439,2024-02-04T18:08:13.414182,12,32.88,4
488064,2024-02-06T14:54:32.620120,10,53.18,2
498742,2024-02-02T16:38:21.734251,4,88.34,4
503907,2024-02-06T02:48:16.514171,11,8.23,1
510024,2024-02-01T23:53:31.940112,12,52.72,2
524299,2024-02-04T01:53:36.189263,26,23.92,2
527155,2024-02-10T02:56:39.166797,10,6.02,2
553361,2024-02-05T19:18:06.012756,27,36.27,2
570141,2024-02-09T06:17:56.699097,22,71.58,4
580453,2024-02-04T01:55:01.440327,9,52.06,4
601534,2024-02-02T15:14:10.678262,6,16.28,1
602086,2024-02-07T05:44:43.862118,26,6.75,1
602251,2024-02-05T09:50:42.187485,14,45.65,3
614917,2024-02-01T15:44:05.971181,1,79.94,5
631084,2024-02-01T22:17:39.215597,9,15.57,2
650033,2024-02-10T18:58:30.859170,1,31.55,3
650591,2024-02-01T23:36:24.565209,11,64.10,4
664183,2024-02-08T08:49:59.132511,13,54.32,4
670303,2024-02-05T09:36:12.515935,4,0.69,1
683843,2024-02-09T21:50:11.337457,24,58.69,2
684068,2024-02-05T07:06:16.453777,9,58.50,3
690167,2024-02-07T19:38:27.295134,18,34.24,1
697413,2024-02-02T13:04:15.493346,16,53.46,4
707263,2024-02-01T14:59:56.525712,19,17.12,1
710634,2024-02-07T19:51:40.068135,6,31.56,2
712719,2024-02-09T22:50:55.557827,18,5.77,2
723162,2024-02-09T12:47:09.025463,9,34.12,1
733728,2024-02-09T02:05:00.203781,18,54.03,3
736078,2024-02-08T20:54:50.097730,13,73.89,4
743071,2024-02-09T22:44:12.026354,3,39.12,1
751585,2024-02-05T21:18:35.837321,6,46.43,3
754215,2024-02-08T13:20:24.324402,27,3.16,1
764601,2024-02-02T12:42:40.594751,19,69.93,4
773752,2024-02-04T10:06:11.731559,12,79.94,5
788916,2024-02-10T10:45:27.109023,18,31.97,3
805996,2024-02-02T10:26:33.470744,18,30.30,1
811967,2024-02-09T22:25:39.265599,21,18.64,2
829221,2024-02-06T10:47:54.318376,8,9.05,1
830248,2024-02-05T10:18:05.144970,10,38.84,4
847403,2024-02-10T02:40:46.353922,2,50.72,3
862927,2024-02-01T18:14:33.267974,12,65.56,4
870305,2024-02-06T07:57:48.386833,2,18.11,2
894690,2024-02-08T17:41:50.173063,10,52.79,3
899963,2024-02-09T07:03:43.133103,17,39.32,1
918654,2024-02-05T20:08:30.140785,14,68.06,2
924599,2024-02-04T07:08:24.991737,25,36.91,2
941568,2024-02-07T18:04:40.416573,20,9.42,1
944700,2024-02-06T17:37:52.139643,28,18.54,2
960281,2024-02-07T21:33:51.503917,26,77.61,3
969606,2024-02-02T08:43:21.300939,10,15.18,1
971037,2024-02-06T11:43:14.643002,20,6.24,1
989451,2024-02-04T05:25:59.350099,12,68.27,4
1011170,2024-02-02T01:00:13.619956,10,150.57,5
1012569,2024-02-02T15:50:12.291511,29,33.74,2
1017526,2024-02-04T01:35:39.526961,26,40.99,5
1021340,2024-02-08T12:27:49.727837,17,53.57,4
1022651,2024-02-08T01:42:10.634869,4,96.62,5
1097828,2024-02-05T19:46:42.665528,10,56.15,4
1098231,2024-02-05T05:16:27.831092,21,45.96,2
1108886,2024-02-07T08:26:18.495521,26,27.34,2
1111583,2024-02-09T23:05:14.087621,16,41.87,2
1120355,2024-02-02T18:41:22.452955,24,11.44,2
1121093,2024-02-10T22:30:35.390683,28,24.24,1
1138498,2024-02-08T04:23:55.574966,17,89.80,5
1143573,2024-02-08T20:29:46.834292,18,39.78,2
1175311,2024-02-04T09:12:44.525262,8,4.50,1
1202951,2024-02-09T17:12:32.873822,24,69.86,3
1207321,2024-02-07T01:06:29.636405,3,49.52,4
1233595,2024-02-05T10:15:44.516674,15,107.69,5
1235420,2024-02-05T14:57:44.438245,7,6.78,1
1240914,2024-02-01T19:03:17.326014,1,36.13,2
1248559,2024-02-09T20:27:08.268819,12,112.63,5
1267494,2024-02-02T13:51:51.701351,25,80.54,4
1291753,2024-02-10T01:26:24.990432,14,52.93,4
1308732,2024-02-05T02:26:27.471176,5,120.74,5
1317540,2024-02-07T05:26:20.752571,20,92.87,4
1321020,2024-02-10T08:18:48.366904,26,11.22,1
1350834,2024-02-08T12:46:16.178862,23,34.80,4
1361474,2024-02-05T16:57:37.962202,12,47.96,2
1369026,2024-02-09T22:30:05.340955,30,3.16,1
1379657,2024-02-01T04:30:42.787884,26,20.81,3
1385775,2024-02-08T15:12:16.307776,15,69.19,3
1396409,2024-02-07T23:47:42.460196,1,0.79,1
1400101,2024-02-05T11:40:49.267665,2,11.22,1
1421149,2024-02-04T03:41:05.465821,16,56.31,4
1421905,2024-02-02T07:20:38.559851,27,49.00,2
1428653,2024-02-02T17:10:09.338644,28,64.32,2
1443041,2024-02-02T22:18:17.344345,14,54.50,2
1452125,2024-02-02T19:59:52.764322,1,26.41,2
1464092,2024-02-04T14:01:20.857609,5,21.44,3
1475074,2024-02-01T15:27:28.504703,5,7.74,1
1484497,2024-02-08T07:39:26.275438,10,28.58,2
1495582,2024-02-01T00:38:23.181517,17,10.79,2
1514351,2024-02-09T07:27:10.646483,26,60.26,3
1516348,2024-02-06T13:25:35.381778,14,50.28,3
1544124,2024-02-06T17:27:15.642279,10,17.42,1
1548958,2024-02-09T03:34:11.780527,20,8.17,1
1556028,2024-02-09T05:03:46.201259,15,85.41,4
1575370,2024-02-10T14:39:20.537405,18,8.17,1
1584100,2024-02-01T21:16:12.943491,17,45.24,2
1586478,2024-02-05T14:39:12.852650,8,3.14,1
1590221,2024-02-08T09:26:44.068923,19,102.59,3
1592375,2024-02-05T21:13:58.558418,29,119.56,5
1600028,2024-02-06T17:59:04.090701,15,35.36,5
1606086,2024-02-09T21:22:21.656940,26,10.51,2
1608606,2024-02-05T15:49:57.745014,28,67.64,3
1615776,2024-02-04T18:09:51.075255,24,9.00,1
1617356,2024-02-04T03:24:44.104178,21,72.74,4
1621374,2024-02-08T14:20:24.562732,16,93.21,4
1626449,2024-02-06T08:46:54.855469,5,81.18,4
1639152,2024-02-06T21:29:21.305660,17,54.61,3
1642444,2024-02-07T15:42:05.614327,17,19.56,1
1650463,2024-02-07T20:39:49.807860,26,81.47,3
1653031,2024-02-07T04:05:38.039513,30,139.51,5
1655136,2024-02-07T05:28:31.338849,22,12.12,1
1661362,2024-02-06T21:29:52.939965,29,59.51,5
1678112,2024-02-10T22:58:18.577977,3,49.77,4
